station_ID,hours,PM2.5,PM10,CO,NO2,SO2,O3,pressure,humidity,temperature,wind_direction,wind_speed
CEG22010050,2021-05-26 00:00:00,11.154,23.64,0.452,11.105,13.697,68.373,100.453,58.898,32.885,115.036,0.71
CEG22010050,2021-05-26 01:00:00,10.173,22.162,0.421,11.678,14.456,74.837,100.421,59.661,32.691,109.975,0.79
CEG22010050,2021-05-26 02:00:00,9.937,21.913,0.395,12.251,14.788,80.095,100.377,59.808,32.656,125.562,0.625
CEG22010050,2021-05-26 03:00:00,10.594,25.34,0.41,12.824,14.702,80.933,100.337,59.864,32.677,110.976,0.767
CEG22010050,2021-05-26 04:00:00,10.014,21.593,0.402,10.85,14.6,78.159,100.323,60.703,32.32,113.494,0.756
CEG22010050,2021-05-26 05:00:00,10.298,22.487,0.416,10.549,13.797,70.04,100.353,61.122,32.111,118.744,0.778
CEG22010050,2021-05-26 06:00:00,11.018,25.027,0.442,11.857,14.008,64.884,100.376,61.982,31.854,131.054,0.91
CEG22010050,2021-05-26 07:00:00,12.492,29.454,0.513,11.143,11.839,65.59,100.442,61.134,32.233,128.576,0.903
CEG22010050,2021-05-26 08:00:00,13.709,31.644,0.449,10.606,9.942,69.91,100.503,51.777,34.625,144.012,1.045
CEG22010050,2021-05-26 09:00:00,13.633,30.887,0.37,5.502,9.124,86.654,100.537,43.546,37.188,144.434,1.009
CEG22010050,2021-05-26 10:00:00,11.644,22.448,0.313,5.327,8.744,94.174,100.521,37.397,39.03,127.729,1.284
CEG22010050,2021-05-26 11:00:00,11.162,21.889,0.33566666666666667,7.863,10.981,81.716,100.484,32.656,41.438,143.774,1.1400000000000001
CEG22010050,2021-05-26 12:00:00,8.998,18.28,0.35833333333333334,8.392,11.312,73.123,100.43,29.639,42.088,130.422,0.996
CEG22010050,2021-05-26 13:00:00,9.689,25.003,0.381,5.9275,7.5009999999999994,51.913,100.4,37.844,38.503,151.226,0.852
CEG22010050,2021-05-26 14:00:00,9.266,22.046,0.517,3.463,3.69,62.539,100.294,39.336,37.761,142.381,1.024
CEG22010050,2021-05-26 15:00:00,8.653,17.194,0.345,3.79,8.046,86.406,100.184,30.163,41.315,134.54,0.967
CEG22010050,2021-05-26 16:00:00,9.738,19.072,0.39,7.672,11.223,73.944,100.138,30.024,42.269,133.398,1.192
CEG22010050,2021-05-26 17:00:00,10.04,18.779,0.426,9.349,10.791,59.934,100.166,32.011,40.869,165.211,1.143
CEG22010050,2021-05-26 18:00:00,11.1,23.16,0.514,10.274,14.342,63.758,100.197,36.732,38.499,135.597,1.06
CEG22010050,2021-05-26 19:00:00,12.386,27.236,0.551,8.754,11.869,46.762,100.228,42.195,36.558,118.964,1.041
CEG22010050,2021-05-26 20:00:00,12.229,25.039,0.548,7.269,10.831,44.215,100.314,45.836,35.158,130.283,1.118
CEG22010050,2021-05-26 21:00:00,11.565,24.656,0.54,6.86,10.629,46.304,100.403,48.14,34.286,136.534,0.788
CEG22010050,2021-05-26 22:00:00,10.97,24.477,0.474,6.683,10.599,51.31,100.486,50.705,33.757,107.488,0.931
CEG22010050,2021-05-26 23:00:00,11.994,27.661,0.46,7.515,11.139,53.365,100.531,53.368,33.376,111.529,0.761
CEG22010050,2021-05-27 00:00:00,11.281,26.035,0.443,8.185,11.939,59.462,100.495,55.826,33.059,106.367,0.831
CEG22010050,2021-05-27 01:00:00,10.429,23.145,0.421,8.05,12.255,63.824,100.454,56.417,32.775,109.608,0.815
CEG22010050,2021-05-27 02:00:00,10.74,22.188,0.417,11.036,13.471,70.866,100.418,56.842,32.618,124.729,0.671
CEG22010050,2021-05-27 03:00:00,10.563,22.497,0.398,11.717,13.836,77.511,100.415,56.997,32.646,173.943,0.484
CEG22010050,2021-05-27 04:00:00,10.655,22.611,0.418,12.0645,14.33,73.133,100.41,57.901,32.43,123.046,0.639
CEG22010050,2021-05-27 05:00:00,10.559,22.225,0.443,12.412,14.208,76.749,100.414,58.95,32.199,121.395,0.574
CEG22010050,2021-05-27 06:00:00,11.535,25.064,0.497,11.156,14.286,73.47,100.461,60.023,32.114,118.6,0.752
CEG22010050,2021-05-27 07:00:00,11.691,25.964,0.529,11.511,13.319,69.922,100.521,59.241,32.597,148.079,0.688
CEG22010050,2021-05-27 08:00:00,12.571,27.407,0.499,5.1,11.135,85.137,100.562,52.988,34.516,142.662,0.839
CEG22010050,2021-05-27 09:00:00,12.167,23.687,0.364,5.069,5.839,87.143,100.567,42.132,37.879,119.219,1.001
CEG22010050,2021-05-27 10:00:00,12.544,26.357,0.355,9.57,8.57,78.469,100.569,39.268,38.709,138.179,0.943
CEG22010050,2021-05-27 11:00:00,11.353,25.944,0.398,10.975,13.706,80.965,100.58,39.406,39.068,136.664,1.024
CEG22010050,2021-05-27 12:00:00,10.799,20.49,0.585,7.987,15.055,78.972,100.532,51.066,35.616,139.327,0.996
CEG22010050,2021-05-27 13:00:00,10.191,21.124,0.37,5.356,7.992,86.879,100.447,37.552,39.097,150.378,1.147
CEG22010050,2021-05-27 14:00:00,8.995,19.817,0.35,6.084,9.747,82.496,100.376,34.812,39.566,123.874,1.224
CEG22010050,2021-05-27 15:00:00,9.379,18.634,0.384,8.345,11.601,71.065,100.314,34.238,40.392,107.917,1.292
CEG22010050,2021-05-27 16:00:00,9.21,19.504,0.379,7.185,10.61,62.7,100.286,32.183,40.949,135.087,0.889
CEG22010050,2021-05-27 17:00:00,10.988,22.769,0.506,11.3,13.919,52.661,100.278,37.321,39.041,135.33,0.742
CEG22010050,2021-05-27 18:00:00,10.846,22.736,0.51,7.795,11.843,52.732,100.288,39.949,37.544,129.182,0.927
CEG22010050,2021-05-27 19:00:00,11.38,23.607,0.512,7.354,11.409,57.597,100.356,43.548,36.063,122.854,0.951
CEG22010050,2021-05-27 20:00:00,13.884,27.138,0.567,8.676,11.03,46.853,100.442,47.458,35.017,135.978,0.774
CEG22010050,2021-05-27 21:00:00,12.75,26.051,0.546,6.628,9.773,46.8895,100.514,50.999,34.15,131.858,0.86
CEG22010050,2021-05-27 22:00:00,12.982,27.862,0.502,7.508,10.552,46.926,100.551,54.628,33.455,112.293,0.975
CEG22010050,2021-05-27 23:00:00,13.333,30.517,0.497,9.147,11.895,51.952,100.557,57.715,32.975,108.545,1.006
CEG22010050,2021-05-28 00:00:00,12.83,27.849,0.473,9.894,12.391,59.747,100.537,59.709,32.608,113.181,0.87
CEG22010050,2021-05-28 01:00:00,11.814,26.428,0.436,9.084,12.896,74.186,100.496,60.154,32.485,123.642,0.721
CEG22010050,2021-05-28 02:00:00,11.556,26.431,0.42,11.383,13.653,74.545,100.461,60.68,32.373,127.28,0.771
CEG22010050,2021-05-28 03:00:00,11.708,25.784,0.429,11.002,13.511,66.298,100.454,62.094,32.019,130.745,0.745
CEG22010050,2021-05-28 04:00:00,11.476,26.221,0.429,10.65,13.232,64.926,100.465,62.929,31.856,119.183,0.638
CEG22010050,2021-05-28 05:00:00,11.325,26.01,0.438,11.484,13.281,63.393,100.523,63.226,31.81,114.919,0.801
CEG22010050,2021-05-28 06:00:00,11.199,26.86,0.458,10.225666666666667,13.451,58.36,100.58,63.584,31.759,123.741,0.767
CEG22010050,2021-05-28 07:00:00,11.52,26.294,0.554,8.967333333333332,13.284,58.53,100.626,61.947,32.201,125.548,0.793
CEG22010050,2021-05-28 08:00:00,11.848,26.542,0.494,7.709,9.4,72.347,100.662,51.116,34.867,194.94,0.559
CEG22010050,2021-05-28 09:00:00,11.364,25.643,0.319,6.457,7.567,94.641,100.681,40.408,38.286,144.683,0.853
CEG22010050,2021-05-28 10:00:00,10.163,19.846,0.324,6.749,9.711,80.167,100.674,34.324,40.774,167.337,0.961
CEG22010050,2021-05-28 11:00:00,10.111,20.853,0.329,7.824,9.281,80.198,100.631,31.42,42.145,136.011,0.699
CEG22010050,2021-05-28 12:00:00,9.36,20.941,0.332,8.364,11.393,73.314,100.541,31.568,43.078,154.962,0.865
