station_ID,hours,PM2.5,PM10,CO,NO2,SO2,O3,pressure,humidity,temperature,wind_direction,wind_speed
CEG22050055,2021-05-26 00:00:00,4.196,14.116,0.371,14.801,13.578,49.187,100.678,64.721,31.125,105.355,1.591
CEG22050055,2021-05-26 01:00:00,4.264,13.993,0.359,14.781,13.675,50.582,100.652,65.468,30.985,109.576,1.204
CEG22050055,2021-05-26 02:00:00,3.944,12.59,0.35,14.793,13.554,49.78,100.607,65.892,30.893,131.749,0.954
CEG22050055,2021-05-26 03:00:00,4.164,13.548,0.343,14.758,13.479,52.29,100.562,66.182,30.898,147.457,1.384
CEG22050055,2021-05-26 04:00:00,4.149,13.897,0.343,14.811,13.518,48.524,100.553,66.413,30.629,126.446,1.106
CEG22050055,2021-05-26 05:00:00,4.723,14.628,0.345,14.729,13.715,54.226,100.579,66.689,30.509,110.588,1.141
CEG22050055,2021-05-26 06:00:00,5.683,18.113,0.385,14.572,14.375,65.4,100.597,67.037,30.677,124.644,1.2
CEG22050055,2021-05-26 07:00:00,6.081,19.781,0.339,14.843,10.56,46.303,100.672,57.251,33.112,122.729,1.4
CEG22050055,2021-05-26 08:00:00,5.439,18.175,0.6526000000000001,14.963,9.811,38.015,100.735,48.733,35.54,124.885,1.728
CEG22050055,2021-05-26 09:00:00,4.932,17.077,0.9662,14.898,9.887,42.603,100.771,44.719,36.691,115.969,1.745
CEG22050055,2021-05-26 10:00:00,4.251,14.494,1.2798,14.839,9.44,46.808,100.76,39.653,38.07,121.979,1.826
CEG22050055,2021-05-26 11:00:00,3.953,12.954,1.5934,14.83,11.602,47.55,100.722,37.566,38.644,104.645,2.204
CEG22050055,2021-05-26 12:00:00,2.928,10.287,1.907,14.793,63.529,53.618,100.673,31.896,34.564,96.61,2.364
CEG22050055,2021-05-26 13:00:00,3.408,11.932,0.314,15.091,37.487,36.569,100.627,43.892,36.172,89.61,2.296
CEG22050055,2021-05-26 14:00:00,3.948,13.894,0.502,13.972,11.445,107.633,100.547,43.451,35.931,98.259,1.205
CEG22050055,2021-05-26 15:00:00,3.059,11.004,0.4593333333333333,14.283,8.917,85.93199999999999,100.435,33.786,39.499,105.614,1.92
CEG22050055,2021-05-26 16:00:00,3.26,10.775,0.4166666666666667,14.594,14.961,64.231,100.379,34.631,39.759,105.779,2.269
CEG22050055,2021-05-26 17:00:00,3.248,11.091,0.374,14.484,15.797,71.866,100.412,35.318,39.182,104.85,2.025
CEG22050055,2021-05-26 18:00:00,3.519,11.374,0.437,14.411,17.974,76.967,100.435,38.623,37.485,109.188,1.982
CEG22050055,2021-05-26 19:00:00,4.577,13.186,0.523,14.342,19.656,81.757,100.456,46.474,34.613,85.464,2.187
CEG22050055,2021-05-26 20:00:00,5.146,14.213,0.539,14.705,13.931,56.045,100.538,51.135,33.147,98.111,1.517
CEG22050055,2021-05-26 21:00:00,4.184,13.118,0.479,14.7,13.791,56.472,100.619,53.6,32.183,101.902,2.202
CEG22050055,2021-05-26 22:00:00,4.151,13.962,0.451,14.731,13.354,54.271,100.716,57.174,31.572,124.09,2.016
CEG22050055,2021-05-26 23:00:00,4.405,14.777,0.427,14.676,13.991,58.067,100.761,60.286,31.245,112.613,1.508
CEG22050055,2021-05-27 00:00:00,4.252,14.495,0.408,14.706,13.621,55.985,100.724,62.594,31.035,116.039,1.363
CEG22050055,2021-05-27 01:00:00,3.745,12.618,0.376,14.825,13.199,47.606,100.678,62.571,30.853,119.235,1.098
CEG22050055,2021-05-27 02:00:00,4.458,14.927,0.371,14.706,13.821,55.93,100.647,63.586,30.792,121.276,1.278
CEG22050055,2021-05-27 03:00:00,4.455,14.17,0.362,14.7,13.922,56.352,100.644,64.544,30.656,140.584,1.049
CEG22050055,2021-05-27 04:00:00,4.285,13.654,0.354,14.79,13.49,50.056,100.637,64.287,30.594,132.417,1.369
CEG22050055,2021-05-27 05:00:00,4.191,13.743,0.363,14.821,13.453,47.848,100.635,64.29,30.595,104.65,1.165
CEG22050055,2021-05-27 06:00:00,4.943,15.517,0.388,14.71,13.625,55.685,100.681,64.656,30.866,99.421,1.326
CEG22050055,2021-05-27 07:00:00,5.413,17.278,0.371,14.786,10.087,50.283,100.741,57.087,33.112,89.304,1.376
CEG22050055,2021-05-27 08:00:00,4.923,15.922,0.3546666666666667,15.038,9.273,32.753,100.79,49.17,35.435,115.423,1.605
CEG22050055,2021-05-27 09:00:00,4.184,13.416,0.3383333333333333,14.884,13.652,43.716,100.809,45.922,36.144,100.755,1.687
CEG22050055,2021-05-27 10:00:00,4.27,14.748,0.322,14.519,11.571,69.324,100.809,43.822,36.57,101.616,1.852
CEG22050055,2021-05-27 11:00:00,5.173,16.274,0.308,14.777,12.519,51.168,100.811,42.385,36.905,106.117,2.119
CEG22050055,2021-05-27 12:00:00,4.193,13.158,0.507,14.223,14.601,89.936,100.757,54.237,33.725,77.549,1.857
CEG22050055,2021-05-27 13:00:00,3.398,12.316,13.844,14.978,9.279,36.963,100.681,40.416,37.864,136.514,2.284
CEG22050055,2021-05-27 14:00:00,3.123,11.411,27.181,14.679,17.476,48.619,100.62,3.478,31.557,108.823,2.205
CEG22050055,2021-05-27 15:00:00,2.946,10.964,49.965,14.565,8.825,48.979,100.553,10.094000000000001,25.25,114.877,2.181
CEG22050055,2021-05-27 16:00:00,2.706,9.814,12.381,14.78,5.186,42.957,100.527,16.71,18.943,113.837,1.733
CEG22050055,2021-05-27 17:00:00,3.612,12.148,6.431,13.707,23.496,126.521,100.513,38.998,38.041,122.666,1.778
CEG22050055,2021-05-27 18:00:00,4.37,13.362,0.481,14.754,14.488,52.724,100.524,42.823,36.201,111.714,1.465
CEG22050055,2021-05-27 19:00:00,4.865,13.368,0.54,14.462,15.554,73.251,100.589,48.587,34.006,100.053,1.904
CEG22050055,2021-05-27 20:00:00,5.326,14.382,0.55,14.625,14.634,61.776,100.669,52.732,32.951,91.288,1.893
CEG22050055,2021-05-27 21:00:00,5.498,15.972,0.537,14.663,13.586,59.107,100.746,56.395,32.25,106.976,1.504
CEG22050055,2021-05-27 22:00:00,5.581,17.177,0.511,14.706,13.6,56.071,100.776,60.308,31.724,123.026,1.757
CEG22050055,2021-05-27 23:00:00,6.45,19.56,0.481,14.733,13.673,54.188,100.779,63.611,31.337,113.63,1.669
CEG22050055,2021-05-28 00:00:00,5.807,17.436,0.441,14.684,13.653,57.594,100.756,64.128,31.19,117.021,1.3
CEG22050055,2021-05-28 01:00:00,5.185,15.647,0.41,14.752,13.593,52.832,100.722,64.449,30.966,127.332,1.425
CEG22050055,2021-05-28 02:00:00,5.162,15.611,0.403,14.762,13.476,52.149,100.687,65.189,30.776,119.448,1.149
CEG22050055,2021-05-28 03:00:00,5.164,16.444,0.39,14.687,14.028,57.399,100.676,66.481,30.591,124.342,1.36
CEG22050055,2021-05-28 04:00:00,5.301,16.879,0.389,14.766,13.557,51.837,100.682,67.809,30.439,114.622,1.275
CEG22050055,2021-05-28 05:00:00,5.137,15.959,0.381,14.787,13.479,50.363,100.746,67.651,30.436,115.774,1.141
CEG22050055,2021-05-28 06:00:00,5.017,15.913,0.396,14.633,13.76,61.185,100.799,66.712,30.702,127.283,1.398
CEG22050055,2021-05-28 07:00:00,4.716,15.233,0.36,14.915,9.799,41.316,100.848,56.25,33.253,114.362,1.518
CEG22050055,2021-05-28 08:00:00,4.887,15.645,0.321,15.036,9.374,32.867,100.89,47.704,35.756,124.501,1.644
CEG22050055,2021-05-28 09:00:00,4.297,14.539,1.57725,14.942,10.386,39.652,100.915,41.616,37.688,132.511,1.346
CEG22050055,2021-05-28 10:00:00,3.927,13.376,2.8335000000000004,14.843,10.599,46.669,100.913,36.453,39.422,150.187,1.323
CEG22050055,2021-05-28 11:00:00,4.06,13.206,4.08975,14.62,13.535,62.443,100.87,33.432,40.688,156.603,1.55
CEG22050055,2021-05-28 12:00:00,4.258,13.53,5.346,14.302,17.319,82.199,100.798,29.762,31.407,203.194,1.211
CEG22050055,2021-05-28 13:00:00,3.643,11.735,1.034,14.593,17.022,64.703,100.72,35.453,40.584,169.816,0.797
CEG22050055,2021-05-28 14:00:00,4.293,12.636,7.22,14.363,20.142,78.638,100.632,31.987,26.071,111.191,0.834
CEG22050055,2021-05-28 15:00:00,4.301,13.632,14.763,13.626,30.814,137.646,100.547,25.743,16.373,135.241,0.883
CEG22050055,2021-05-28 16:00:00,5.415,18.632,14.069,14.545,37.79775,99.782,100.486,29.057399999999998,16.8868,225.781,1.495
CEG22050055,2021-05-28 17:00:00,7.402,23.061,6.102,14.539,44.7815,101.511,100.483,32.3718,17.4006,229.612,1.852
CEG22050055,2021-05-28 18:00:00,3.868,12.604,44.859,14.624,51.76525,81.365,100.515,35.6862,17.9144,250.96,1.852
CEG22050055,2021-05-28 19:00:00,3.45,12.228,28.506500000000003,14.682,58.749,68.56,100.577,39.0006,18.4282,250.626,1.274
CEG22050055,2021-05-28 20:00:00,3.7,12.626,12.154,14.6,17.434,64.021,100.656,42.315,18.942,250.292,1.271
CEG22050055,2021-05-28 21:00:00,3.759,13.023,0.775,14.619,15.085,62.169,100.672,59.458,32.909,229.934,0.76
CEG22050055,2021-05-28 22:00:00,4.164,12.563,0.702,14.753,13.276,52.757,100.681,58.846,32.866,179.158,0.574
CEG22050055,2021-05-28 23:00:00,7.842,21.855,0.648,14.823,14.312,47.826,100.665,60.531,32.485,148.268,1.087
CEG22050055,2021-05-29 00:00:00,8.777,21.543,0.574,14.867,14.051,44.631,100.62,61.934,31.87,151.562,0.837
CEG22050055,2021-05-29 01:00:00,7.978,21.468,0.522,14.689,14.256,57.179,100.566,63.994,31.352,145.615,1.201
CEG22050055,2021-05-29 02:00:00,6.733,19.148,0.524,14.637,14.687,60.848,100.52,66.138,30.852,141.658,1.259
CEG22050055,2021-05-29 03:00:00,6.54,18.308,0.449,14.765,13.672,51.822,100.514,66.538,30.732,143.047,0.88
CEG22050055,2021-05-29 04:00:00,6.723,18.413,0.427,14.735,13.913,53.964,100.535,67.055,30.575,145.972,1.162
CEG22050055,2021-05-29 05:00:00,6.388,18.947,0.416,14.743,13.811,53.402,100.575,67.2,30.4,134.214,1.082
