station_ID,hours,PM2.5,PM10,CO,NO2,SO2,O3,pressure,humidity,temperature,wind_direction,wind_speed
CEG22050057,2021-05-26 00:00:00,7.071,19.067,0.435,12.29,15.521,35.936,100.703,65.586,31.109,133.778,1.348
CEG22050057,2021-05-26 01:00:00,6.29,17.475,0.406,15.053,17.934,34.751999999999995,100.667,66.554,30.95,133.778,1.147
CEG22050057,2021-05-26 02:00:00,4.741,15.571,0.387,12.987,16.71,33.568,100.621,66.061,31.037,133.778,0.7
CEG22050057,2021-05-26 03:00:00,4.86,15.532,0.387,12.52,18.017,40.636,100.58,66.09,31.08,149.66,1.014
CEG22050057,2021-05-26 04:00:00,5.501,15.962,0.404,12.576,18.777,36.238,100.571,67.646,30.673,111.263,0.926
CEG22050057,2021-05-26 05:00:00,6.04,16.837,0.409,11.956,17.331,36.122,100.597,68.03,30.454,107.949,1.19
CEG22050057,2021-05-26 06:00:00,6.555,18.643,0.436,12.212,17.534,36.409,100.617,68.584,30.285,106.727,1.183
CEG22050057,2021-05-26 07:00:00,7.157,21.19,0.477,13.058,17.182,37.077,100.679,67.23,30.862,102.316,1.387
CEG22050057,2021-05-26 08:00:00,5.717,17.336,0.375,8.175,5.721,49.219,100.752,51.805,34.818,112.095,1.497
CEG22050057,2021-05-26 09:00:00,5.062,16.519,0.329,10.758,14.707,63.779,100.792,45.532,36.387,121.874,1.809
CEG22050057,2021-05-26 10:00:00,4.909,15.715,0.346,11.699,15.507,63.501,100.788,40.532,37.79,139.442,1.218
CEG22050057,2021-05-26 11:00:00,5.75,16.428,0.36166666666666664,8.368,14.831,75.724,100.757,37.542,38.912,121.6635,1.7535
CEG22050057,2021-05-26 12:00:00,3.343,12.049,0.37733333333333335,8.371,12.96,66.749,100.702,33.225,40.079,103.885,2.289
CEG22050057,2021-05-26 13:00:00,3.09,12.164,0.393,18.285,14.0565,57.679,100.656,42.257,36.09,146.274,1.158
CEG22050057,2021-05-26 14:00:00,3.179,12.081,0.345,8.951,15.153,74.897,100.565,37.058,38.199,129.8745,2.03
CEG22050057,2021-05-26 15:00:00,2.856,11.354,0.34,7.509,9.543,76.629,100.469,32.613,39.907,113.475,2.073
CEG22050057,2021-05-26 16:00:00,3.754,13.137,0.348,9.468,18.316,70.022,100.422,33.003,40.446,101.201,2.088
CEG22050057,2021-05-26 17:00:00,3.593,12.433,0.349,9.336,16.65,69.985,100.449,33.525,39.843,103.332,2.1029999999999998
CEG22050057,2021-05-26 18:00:00,4.808,14.911,0.447,16.953,16.918333333333333,53.458,100.467,38.806,37.362,105.463,2.118
CEG22050057,2021-05-26 19:00:00,6.079,17.013,0.497,12.379,17.186666666666664,50.177,100.493,45.811,34.983,107.239,1.892
CEG22050057,2021-05-26 20:00:00,7.406,18.786,0.543,10.43,17.455,48.292,100.576,50.285,33.483,104.515,1.918
CEG22050057,2021-05-26 21:00:00,5.622,16.216,0.49,10.183,15.748,49.67,100.662,53.096,32.585,106.236,1.555
CEG22050057,2021-05-26 22:00:00,5.319,16.039,0.454,10.235,16.072,48.777,100.744,56.194,32.042,102.187,1.497
CEG22050057,2021-05-26 23:00:00,5.425,16.6,0.441,10.616,16.302,47.275,100.787,58.854,31.734,108.71,1.07
CEG22050057,2021-05-27 00:00:00,5.178,16.945,0.427,10.869,16.617,46.962,100.747,61.426,31.433,102.428,1.225
CEG22050057,2021-05-27 01:00:00,5.348,17.341,0.414,11.723,16.595,40.637,100.701,62.304,31.229,128.891,0.873
CEG22050057,2021-05-27 02:00:00,5.344,16.929,0.408,12.766,16.7,35.326,100.668,63.01,31.034,125.146,0.897
CEG22050057,2021-05-27 03:00:00,4.582,14.775,0.402,12.444,12.927,35.795,100.664,62.553,31.059,139.803,0.623
CEG22050057,2021-05-27 04:00:00,5.535,16.579,0.412,13.014,7.979,35.451,100.659,63.502,30.861,106.082,1.079
CEG22050057,2021-05-27 05:00:00,5.607,17.168,0.438,12.285,17.36,40.876,100.655,64.809,30.611,108.742,1.141
CEG22050057,2021-05-27 06:00:00,6.06,18.051,0.444,11.905,16.043,44.836,100.703,65.648,30.621,108.292,1.263
CEG22050057,2021-05-27 07:00:00,6.51,19.499,0.457,11.903,17.65,59.406,100.767,64.617,31.189,109.39075,1.597
CEG22050057,2021-05-27 08:00:00,6.07,18.805,0.373,8.202,6.356,46.967,100.814,52.841,34.535,110.48949999999999,1.509
CEG22050057,2021-05-27 09:00:00,4.922,15.788,0.346,8.277,9.622,61.441,100.828,44.457,36.829,111.58825,2.084
CEG22050057,2021-05-27 10:00:00,4.817,15.135,0.321,9.719,13.697,65.785,100.831,42.757,36.934,112.687,1.779
CEG22050057,2021-05-27 11:00:00,5.289,15.735,0.375,14.789,12.142666666666667,58.418,100.843,47.455,35.698,113.461,1.877
CEG22050057,2021-05-27 12:00:00,5.571,15.524,0.418,15.879,10.588333333333333,51.77,100.784,54.315,34.302,111.151,1.816
CEG22050057,2021-05-27 13:00:00,3.375,11.785,0.39266666666666666,6.164,9.034,49.0,100.713,38.14,38.583,108.84100000000001,2.193
CEG22050057,2021-05-27 14:00:00,2.673,10.504,0.36733333333333335,12.016,11.195666666666668,67.126,100.654,35.88,39.127,106.531,1.797
CEG22050057,2021-05-27 15:00:00,3.188,11.681,0.342,12.752,13.357333333333333,66.03,100.595,36.49,39.166,105.37100000000001,2.09
CEG22050057,2021-05-27 16:00:00,3.408,11.823,0.357,9.206,15.519,64.613,100.564,34.532,39.656,104.211,1.854
CEG22050057,2021-05-27 17:00:00,4.692,14.448,0.433,16.011,16.221,57.517,100.55,39.441,37.658,104.97,1.618
CEG22050057,2021-05-27 18:00:00,5.889,16.483,0.464,11.321,16.923,52.501,100.559,42.111,36.444,103.2115,1.237
CEG22050057,2021-05-27 19:00:00,6.941,18.228,0.498,12.172,19.059,51.821,100.62,46.597,34.71,101.453,1.389
CEG22050057,2021-05-27 20:00:00,14.117,28.472,0.543,13.004,16.1575,46.993,100.699,51.596,33.493,114.504,1.354
CEG22050057,2021-05-27 21:00:00,7.608,18.556,0.532,10.935,13.256,43.473,100.767,55.315,32.708,106.776,1.364
CEG22050057,2021-05-27 22:00:00,7.838,20.464,0.522,10.795,16.519,47.371,100.803,59.413,31.991,105.67,1.514
CEG22050057,2021-05-27 23:00:00,9.417,23.615,0.47,11.606,17.001,43.777,100.804,63.278,31.383,104.538,1.544
CEG22050057,2021-05-28 00:00:00,8.422,21.415,0.458,12.311,16.308,41.437,100.782,65.768,31.002,101.148,1.194
CEG22050057,2021-05-28 01:00:00,7.187,19.742,0.446,12.137,16.674,40.086,100.741,66.401,30.916,121.927,0.977
